din_instante;id_subsistema_origem;nom_subsistema_origem;id_subsistema_destino;nom_subsistema_destino;val_intercambiomwmed
2024-01-01 20:00:00;NE;NORDESTE;SE;SUDESTE;-2541.45400000
2024-01-01 20:00:00;SE;SUDESTE;S;SUL;-3648.77100000
2024-01-01 21:00:00;N;NORTE;NE;NORDESTE;3018.90500000
2024-01-01 21:00:00;N;NORTE;SE;SUDESTE;-3631.26200000
2024-01-01 21:00:00;NE;NORDESTE;SE;SUDESTE;-2753.02300000
2024-01-01 21:00:00;SE;SUDESTE;S;SUL;-3807.80400000
2024-01-01 22:00:00;N;NORTE;NE;NORDESTE;2880.93900000
2024-01-01 22:00:00;N;NORTE;SE;SUDESTE;-3960.87400000
2024-01-01 22:00:00;NE;NORDESTE;SE;SUDESTE;-2733.70100000
2024-01-01 22:00:00;SE;SUDESTE;S;SUL;-4318.10300000
2024-01-01 23:00:00;N;NORTE;NE;NORDESTE;2783.93300000
2024-01-01 23:00:00;N;NORTE;SE;SUDESTE;-4065.92000000
2024-01-01 23:00:00;NE;NORDESTE;SE;SUDESTE;-2795.44900000
2024-01-01 23:00:00;SE;SUDESTE;S;SUL;-4917.16700000
2024-01-02 00:00:00;N;NORTE;NE;NORDESTE;2739.21700000
2024-01-02 00:00:00;N;NORTE;SE;SUDESTE;-4459.18500000
2024-01-02 00:00:00;NE;NORDESTE;SE;SUDESTE;-2707.03900000
2024-01-02 00:00:00;SE;SUDESTE;S;SUL;-4904.35200000
2024-01-02 01:00:00;N;NORTE;NE;NORDESTE;2886.89600000
2024-01-02 01:00:00;N;NORTE;SE;SUDESTE;-4488.79900000
2024-01-02 01:00:00;NE;NORDESTE;SE;SUDESTE;-2652.73000000
2024-01-02 01:00:00;SE;SUDESTE;S;SUL;-4284.44200000
2024-01-02 02:00:00;N;NORTE;NE;NORDESTE;2986.45600000
2024-01-02 02:00:00;N;NORTE;SE;SUDESTE;-4471.54200000
2024-01-02 02:00:00;NE;NORDESTE;SE;SUDESTE;-2908.15200000
2024-01-02 02:00:00;SE;SUDESTE;S;SUL;-4750.37600000
2024-01-02 03:00:00;N;NORTE;NE;NORDESTE;2909.83800000
2024-01-02 03:00:00;N;NORTE;SE;SUDESTE;-4394.57600000
2024-01-02 03:00:00;NE;NORDESTE;SE;SUDESTE;-2784.82700000
2024-01-02 03:00:00;SE;SUDESTE;S;SUL;-5247.64300000
2024-01-02 04:00:00;N;NORTE;NE;NORDESTE;2972.85900000
2024-01-02 04:00:00;N;NORTE;SE;SUDESTE;-4395.48899999
2024-01-02 04:00:00;NE;NORDESTE;SE;SUDESTE;-2731.24400000
2024-01-02 04:00:00;SE;SUDESTE;S;SUL;-5313.61100000
2024-01-02 05:00:00;N;NORTE;NE;NORDESTE;2810.24500000
2024-01-02 05:00:00;N;NORTE;SE;SUDESTE;-4221.30599999
2024-01-02 05:00:00;NE;NORDESTE;SE;SUDESTE;-2473.01400000
2024-01-02 05:00:00;SE;SUDESTE;S;SUL;-5254.58800000
2024-01-02 06:00:00;N;NORTE;NE;NORDESTE;2048.12900000
2024-01-02 06:00:00;N;NORTE;SE;SUDESTE;-3711.90600000
2024-01-02 06:00:00;NE;NORDESTE;SE;SUDESTE;-1882.30200000
2024-01-02 06:00:00;SE;SUDESTE;S;SUL;-5591.14400000
2024-01-02 07:00:00;N;NORTE;NE;NORDESTE;1239.49399999
2024-01-02 07:00:00;N;NORTE;SE;SUDESTE;-2922.48700000
2024-01-02 07:00:00;NE;NORDESTE;SE;SUDESTE;-1685.77700000
2024-01-02 07:00:00;SE;SUDESTE;S;SUL;-5263.08000000
2024-01-02 08:00:00;N;NORTE;NE;NORDESTE;1161.39799999
2024-01-02 08:00:00;N;NORTE;SE;SUDESTE;-2800.42400000
2024-01-02 08:00:00;NE;NORDESTE;SE;SUDESTE;-1998.60800000
2024-01-02 08:00:00;SE;SUDESTE;S;SUL;-4984.01800000
2024-01-02 09:00:00;N;NORTE;NE;NORDESTE;1021.49900000
2024-01-02 09:00:00;N;NORTE;SE;SUDESTE;-2641.96900000
2024-01-02 09:00:00;NE;NORDESTE;SE;SUDESTE;-1906.80800000
2024-01-02 09:00:00;SE;SUDESTE;S;SUL;-4658.19200000
2024-01-02 10:00:00;N;NORTE;NE;NORDESTE;886.92100000
2024-01-02 10:00:00;N;NORTE;SE;SUDESTE;-2423.60399999
2024-01-02 10:00:00;NE;NORDESTE;SE;SUDESTE;-1666.64500000
2024-01-02 10:00:00;SE;SUDESTE;S;SUL;-4498.26700000
2024-01-02 11:00:00;N;NORTE;NE;NORDESTE;720.82100000
2024-01-02 11:00:00;N;NORTE;SE;SUDESTE;-2196.47300000
2024-01-02 11:00:00;NE;NORDESTE;SE;SUDESTE;-1451.55300000
2024-01-02 11:00:00;SE;SUDESTE;S;SUL;-4025.47000000
2024-01-02 12:00:00;N;NORTE;NE;NORDESTE;388.35800000
2024-01-02 12:00:00;N;NORTE;SE;SUDESTE;-1833.80100000
2024-01-02 12:00:00;NE;NORDESTE;SE;SUDESTE;-912.46500000
2024-01-02 12:00:00;SE;SUDESTE;S;SUL;-4171.35999999
2024-01-02 13:00:00;N;NORTE;NE;NORDESTE;554.37600000
2024-01-02 13:00:00;N;NORTE;SE;SUDESTE;-1723.37200000
2024-01-02 13:00:00;NE;NORDESTE;SE;SUDESTE;-996.65100000
2024-01-02 13:00:00;SE;SUDESTE;S;SUL;-4278.84599999
2024-01-02 14:00:00;N;NORTE;NE;NORDESTE;1035.35200000
2024-01-02 14:00:00;N;NORTE;SE;SUDESTE;-1491.41600000
2024-01-02 14:00:00;NE;NORDESTE;SE;SUDESTE;-694.88000000
2024-01-02 14:00:00;SE;SUDESTE;S;SUL;-3374.25600000
2024-01-02 15:00:00;N;NORTE;NE;NORDESTE;1251.40500000
2024-01-02 15:00:00;N;NORTE;SE;SUDESTE;-1680.29400000
2024-01-02 15:00:00;NE;NORDESTE;SE;SUDESTE;-694.51900000
2024-01-02 15:00:00;SE;SUDESTE;S;SUL;-3342.18000000
2024-01-02 16:00:00;N;NORTE;NE;NORDESTE;1729.25700000
2024-01-02 16:00:00;N;NORTE;SE;SUDESTE;-2158.89000000
2024-01-02 16:00:00;NE;NORDESTE;SE;SUDESTE;-1449.84300000
2024-01-02 16:00:00;SE;SUDESTE;S;SUL;-4218.93000000
2024-01-02 17:00:00;N;NORTE;NE;NORDESTE;1866.79900000
2024-01-02 17:00:00;N;NORTE;SE;SUDESTE;-2259.16800000
2024-01-02 17:00:00;NE;NORDESTE;SE;SUDESTE;-1673.10900000
2024-01-02 17:00:00;SE;SUDESTE;S;SUL;-4407.31300000
2024-01-02 18:00:00;N;NORTE;NE;NORDESTE;2008.70200000
2024-01-02 18:00:00;N;NORTE;SE;SUDESTE;-1957.65300000
2024-01-02 18:00:00;NE;NORDESTE;SE;SUDESTE;-1351.79100000
2024-01-02 18:00:00;SE;SUDESTE;S;SUL;-4364.65700000
2024-01-02 19:00:00;N;NORTE;NE;NORDESTE;2168.92800000
2024-01-02 19:00:00;N;NORTE;SE;SUDESTE;-1921.94300000
2024-01-02 19:00:00;NE;NORDESTE;SE;SUDESTE;-1179.60400000
2024-01-02 19:00:00;SE;SUDESTE;S;SUL;-3461.94600000
2024-01-02 20:00:00;N;NORTE;NE;NORDESTE;2143.77200000
2024-01-02 20:00:00;N;NORTE;SE;SUDESTE;-2002.17200000
2024-01-02 20:00:00;NE;NORDESTE;SE;SUDESTE;-1311.20800000
2024-01-02 20:00:00;SE;SUDESTE;S;SUL;-3163.74100000
2024-01-02 21:00:00;N;NORTE;NE;NORDESTE;2417.33500000
2024-01-02 21:00:00;N;NORTE;SE;SUDESTE;-2120.78600000
2024-01-02 21:00:00;NE;NORDESTE;SE;SUDESTE;-1565.11999999
2024-01-02 21:00:00;SE;SUDESTE;S;SUL;-3517.97100000
2024-01-02 22:00:00;N;NORTE;NE;NORDESTE;2560.96400000
2024-01-02 22:00:00;N;NORTE;SE;SUDESTE;-2433.72200000
2024-01-02 22:00:00;NE;NORDESTE;SE;SUDESTE;-2006.21300000
2024-01-02 22:00:00;SE;SUDESTE;S;SUL;-4206.35300000
2024-01-02 23:00:00;N;NORTE;NE;NORDESTE;2528.57200000
2024-01-02 23:00:00;N;NORTE;SE;SUDESTE;-3207.04600000
2024-01-02 23:00:00;NE;NORDESTE;SE;SUDESTE;-2582.03100000
2024-01-02 23:00:00;SE;SUDESTE;S;SUL;-4979.68900000
2024-01-03 00:00:00;N;NORTE;NE;NORDESTE;3143.61000000
2024-01-03 00:00:00;N;NORTE;SE;SUDESTE;-4226.48899999
2024-01-03 00:00:00;NE;NORDESTE;SE;SUDESTE;-3095.15700000
2024-01-03 00:00:00;SE;SUDESTE;S;SUL;-5359.07300000
2024-01-03 01:00:00;N;NORTE;NE;NORDESTE;3239.72500000
2024-01-03 01:00:00;N;NORTE;SE;SUDESTE;-4617.75000000
2024-01-03 01:00:00;NE;NORDESTE;SE;SUDESTE;-3288.84800000
2024-01-03 01:00:00;SE;SUDESTE;S;SUL;-5408.40100000
2024-01-03 02:00:00;N;NORTE;NE;NORDESTE;3251.01200000
2024-01-03 02:00:00;N;NORTE;SE;SUDESTE;-4470.92300000
2024-01-03 02:00:00;NE;NORDESTE;SE;SUDESTE;-3075.37500000
2024-01-03 02:00:00;SE;SUDESTE;S;SUL;-4798.35800000
2024-01-03 03:00:00;N;NORTE;NE;NORDESTE;3346.90400000
2024-01-03 03:00:00;N;NORTE;SE;SUDESTE;-4400.81099999
2024-01-03 03:00:00;NE;NORDESTE;SE;SUDESTE;-3055.06700000
2024-01-03 03:00:00;SE;SUDESTE;S;SUL;-4627.51200000
2024-01-03 04:00:00;N;NORTE;NE;NORDESTE;3243.87300000
2024-01-03 04:00:00;N;NORTE;SE;SUDESTE;-4198.14300000
2024-01-03 04:00:00;NE;NORDESTE;SE;SUDESTE;-2706.95700000
2024-01-03 04:00:00;SE;SUDESTE;S;SUL;-4654.19800000
2024-01-03 05:00:00;N;NORTE;NE;NORDESTE;2747.55100000
2024-01-03 05:00:00;N;NORTE;SE;SUDESTE;-3851.84400000
2024-01-03 05:00:00;NE;NORDESTE;SE;SUDESTE;-2290.94400000
2024-01-03 05:00:00;SE;SUDESTE;S;SUL;-5387.75300000
2024-01-03 06:00:00;N;NORTE;NE;NORDESTE;1974.57400000
2024-01-03 06:00:00;N;NORTE;SE;SUDESTE;-3035.34700000
2024-01-03 06:00:00;NE;NORDESTE;SE;SUDESTE;-2027.91800000
2024-01-03 06:00:00;SE;SUDESTE;S;SUL;-5878.16299999
2024-01-03 07:00:00;N;NORTE;NE;NORDESTE;1602.89100000
2024-01-03 07:00:00;N;NORTE;SE;SUDESTE;-2395.41500000
2024-01-03 07:00:00;NE;NORDESTE;SE;SUDESTE;-1714.56700000
2024-01-03 07:00:00;SE;SUDESTE;S;SUL;-5662.72200000
2024-01-03 08:00:00;N;NORTE;NE;NORDESTE;1294.74399999
2024-01-03 08:00:00;N;NORTE;SE;SUDESTE;-2055.65400000
2024-01-03 08:00:00;NE;NORDESTE;SE;SUDESTE;-1366.66300000
2024-01-03 08:00:00;SE;SUDESTE;S;SUL;-5481.28799999
2024-01-03 09:00:00;N;NORTE;NE;NORDESTE;839.88199999
2024-01-03 09:00:00;N;NORTE;SE;SUDESTE;-1460.88700000
2024-01-03 09:00:00;NE;NORDESTE;SE;SUDESTE;-667.51100000
2024-01-03 09:00:00;SE;SUDESTE;S;SUL;-5127.53700000
2024-01-03 10:00:00;N;NORTE;NE;NORDESTE;421.44700000
2024-01-03 10:00:00;N;NORTE;SE;SUDESTE;-1080.94000000
2024-01-03 10:00:00;NE;NORDESTE;SE;SUDESTE;-306.00400000
2024-01-03 10:00:00;SE;SUDESTE;S;SUL;-4823.47000000
2024-01-03 11:00:00;N;NORTE;NE;NORDESTE;337.13900000
2024-01-03 11:00:00;N;NORTE;SE;SUDESTE;-1003.11500000
2024-01-03 11:00:00;NE;NORDESTE;SE;SUDESTE;-403.17000000
2024-01-03 11:00:00;SE;SUDESTE;S;SUL;-4163.19100000
2024-01-03 12:00:00;N;NORTE;NE;NORDESTE;86.39900000
2024-01-03 12:00:00;N;NORTE;SE;SUDESTE;-778.47000000
2024-01-03 12:00:00;NE;NORDESTE;SE;SUDESTE;122.69400000
2024-01-03 12:00:00;SE;SUDESTE;S;SUL;-3862.31100000
2024-01-03 13:00:00;N;NORTE;NE;NORDESTE;353.10000000
2024-01-03 13:00:00;N;NORTE;SE;SUDESTE;-643.72700000
2024-01-03 13:00:00;NE;NORDESTE;SE;SUDESTE;422.77900000
2024-01-03 13:00:00;SE;SUDESTE;S;SUL;-3932.31400000
2024-01-03 14:00:00;N;NORTE;NE;NORDESTE;347.93500000
2024-01-03 14:00:00;N;NORTE;SE;SUDESTE;-980.65400000
2024-01-03 14:00:00;NE;NORDESTE;SE;SUDESTE;-41.36300000
2024-01-03 14:00:00;SE;SUDESTE;S;SUL;-3724.49200000
2024-01-03 15:00:00;N;NORTE;NE;NORDESTE;222.99800000
2024-01-03 15:00:00;N;NORTE;SE;SUDESTE;-848.68800000
2024-01-03 15:00:00;NE;NORDESTE;SE;SUDESTE;298.14100000
2024-01-03 15:00:00;SE;SUDESTE;S;SUL;-3650.74300000
2024-01-03 16:00:00;N;NORTE;NE;NORDESTE;536.48200000
2024-01-03 16:00:00;N;NORTE;SE;SUDESTE;-1134.69699999
2024-01-03 16:00:00;NE;NORDESTE;SE;SUDESTE;-122.80500000
2024-01-03 16:00:00;SE;SUDESTE;S;SUL;-3491.79500000
